slm_wavelength,phases,amplitudes
736.0,4.612412654256546,1.0
736.2,4.612412654256546,1.0
736.4,4.612412654256546,1.0
736.6,4.612412654256546,1.0
736.8,3.8574426519393468,1.0
737.0,3.8574426519393468,1.0
737.2,3.8574426519393468,1.0
737.4,3.8574426519393468,1.0
737.6,5.886807900886219,1.0
737.8,5.886807900886219,1.0
738.0,5.886807900886219,1.0
738.2,5.886807900886219,1.0
738.4,1.2747124402891563,1.0
738.6,1.2747124402891563,1.0
738.8,1.2747124402891563,1.0
739.0,1.2747124402891563,1.0
739.2,3.271172871086613,1.0
739.4,3.271172871086613,1.0
739.6,3.271172871086613,1.0
739.8,3.271172871086613,1.0
740.0,3.6266293622466828,1.0
740.2,3.6266293622466828,1.0
740.4,3.6266293622466828,1.0
740.6,3.6266293622466828,1.0
740.8,1.0821399202574764,1.0
741.0,1.0821399202574764,1.0
741.2,1.0821399202574764,1.0
741.4,1.0821399202574764,1.0
741.6,0.902510894266863,1.0
741.8,0.902510894266863,1.0
742.0,0.902510894266863,1.0
742.2,0.902510894266863,1.0
742.4,1.750141786585321,1.0
742.6,1.750141786585321,1.0
742.8,1.750141786585321,1.0
743.0,1.750141786585321,1.0
743.2,2.6656813635546364,1.0
743.4,2.6656813635546364,1.0
743.6,2.6656813635546364,1.0
743.8,2.6656813635546364,1.0
744.0,3.2541959898234363,1.0
744.2,3.2541959898234363,1.0
744.4,3.2541959898234363,1.0
744.6,3.2541959898234363,1.0
744.8,0.9620472471242089,1.0
745.0,0.9620472471242089,1.0
745.2,0.9620472471242089,1.0
745.4,0.9620472471242089,1.0
745.6,4.142394292470214,1.0
745.8,4.142394292470214,1.0
746.0,4.142394292470214,1.0
746.2,4.142394292470214,1.0
746.4,4.072560221885302,1.0
746.6,4.072560221885302,1.0
746.8,4.072560221885302,1.0
747.0,4.072560221885302,1.0
747.2,0.72758238367536,1.0
747.4,0.72758238367536,1.0
747.6,0.72758238367536,1.0
747.8,0.72758238367536,1.0
748.0,2.315596224629079,1.0
748.2,2.315596224629079,1.0
748.4,2.315596224629079,1.0
748.6,2.315596224629079,1.0
748.8,0.37345265326777893,1.0
749.0,0.37345265326777893,1.0
749.2,0.37345265326777893,1.0
749.4,0.37345265326777893,1.0
749.6,2.0821731305600153,1.0
749.8,2.0821731305600153,1.0
750.0,2.0821731305600153,1.0
750.2,2.0821731305600153,1.0
750.4,0.7245177516115087,1.0
750.6,0.7245177516115087,1.0
750.8,0.7245177516115087,1.0
